utilization.gpu [%], memory.used [MiB], timestamp
0, 373, 2024/06/09 16:34:10.877
0, 373, 2024/06/09 16:34:11.081
0, 373, 2024/06/09 16:34:11.282
0, 373, 2024/06/09 16:34:11.484
0, 373, 2024/06/09 16:34:11.685
0, 373, 2024/06/09 16:34:11.888
0, 373, 2024/06/09 16:34:12.089
0, 373, 2024/06/09 16:34:12.291
0, 373, 2024/06/09 16:34:12.493
0, 373, 2024/06/09 16:34:12.695
0, 373, 2024/06/09 16:34:12.897
0, 373, 2024/06/09 16:34:13.099
0, 373, 2024/06/09 16:34:13.300
0, 373, 2024/06/09 16:34:13.502
0, 373, 2024/06/09 16:34:13.703
0, 373, 2024/06/09 16:34:13.906
0, 373, 2024/06/09 16:34:14.107
0, 373, 2024/06/09 16:34:14.309
0, 373, 2024/06/09 16:34:14.511
0, 373, 2024/06/09 16:34:14.712
0, 373, 2024/06/09 16:34:14.914
0, 373, 2024/06/09 16:34:15.116
0, 373, 2024/06/09 16:34:15.318
0, 373, 2024/06/09 16:34:15.519
0, 373, 2024/06/09 16:34:15.721
0, 373, 2024/06/09 16:34:15.923
0, 373, 2024/06/09 16:34:16.125
0, 373, 2024/06/09 16:34:16.327
0, 373, 2024/06/09 16:34:16.528
0, 373, 2024/06/09 16:34:16.730
0, 373, 2024/06/09 16:34:16.932
0, 373, 2024/06/09 16:34:17.134
0, 373, 2024/06/09 16:34:17.335
0, 373, 2024/06/09 16:34:17.537
0, 373, 2024/06/09 16:34:17.739
0, 373, 2024/06/09 16:34:17.941
0, 373, 2024/06/09 16:34:18.142
0, 373, 2024/06/09 16:34:18.344
0, 373, 2024/06/09 16:34:18.545
0, 373, 2024/06/09 16:34:18.747
0, 373, 2024/06/09 16:34:18.949
0, 373, 2024/06/09 16:34:19.151
0, 373, 2024/06/09 16:34:19.353
0, 373, 2024/06/09 16:34:19.554
0, 373, 2024/06/09 16:34:19.756
0, 373, 2024/06/09 16:34:19.958
0, 373, 2024/06/09 16:34:20.160
0, 373, 2024/06/09 16:34:20.362
0, 373, 2024/06/09 16:34:20.563
0, 373, 2024/06/09 16:34:20.765
0, 373, 2024/06/09 16:34:20.967
0, 373, 2024/06/09 16:34:21.169
0, 373, 2024/06/09 16:34:21.371
0, 373, 2024/06/09 16:34:21.572
0, 373, 2024/06/09 16:34:21.774
0, 373, 2024/06/09 16:34:21.976
0, 373, 2024/06/09 16:34:22.178
0, 373, 2024/06/09 16:34:22.380
0, 373, 2024/06/09 16:34:22.581
0, 373, 2024/06/09 16:34:22.783
0, 373, 2024/06/09 16:34:22.985
0, 373, 2024/06/09 16:34:23.187
0, 373, 2024/06/09 16:34:23.389
0, 373, 2024/06/09 16:34:23.590
0, 373, 2024/06/09 16:34:23.792
0, 373, 2024/06/09 16:34:23.994
0, 373, 2024/06/09 16:34:24.196
0, 373, 2024/06/09 16:34:24.397
0, 373, 2024/06/09 16:34:24.599
0, 373, 2024/06/09 16:34:24.801
0, 373, 2024/06/09 16:34:25.003
0, 373, 2024/06/09 16:34:25.205
0, 373, 2024/06/09 16:34:25.406
0, 373, 2024/06/09 16:34:25.608
0, 373, 2024/06/09 16:34:25.810
0, 373, 2024/06/09 16:34:26.012
0, 373, 2024/06/09 16:34:26.214
0, 373, 2024/06/09 16:34:26.415
0, 373, 2024/06/09 16:34:26.617
0, 373, 2024/06/09 16:34:26.819
0, 373, 2024/06/09 16:34:27.021
0, 373, 2024/06/09 16:34:27.223
0, 373, 2024/06/09 16:34:27.425
0, 373, 2024/06/09 16:34:27.626
0, 373, 2024/06/09 16:34:27.828
0, 373, 2024/06/09 16:34:28.031
0, 373, 2024/06/09 16:34:28.232
0, 373, 2024/06/09 16:34:28.434
0, 373, 2024/06/09 16:34:28.636
0, 373, 2024/06/09 16:34:28.838
0, 373, 2024/06/09 16:34:29.040
0, 373, 2024/06/09 16:34:29.242
4, 350, 2024/06/09 16:34:29.443
0, 350, 2024/06/09 16:34:29.646
0, 350, 2024/06/09 16:34:29.849
0, 350, 2024/06/09 16:34:30.051
0, 350, 2024/06/09 16:34:30.253
0, 350, 2024/06/09 16:34:30.455
9, 338, 2024/06/09 16:34:30.656
6, 312, 2024/06/09 16:34:30.867
0, 312, 2024/06/09 16:34:31.070
0, 312, 2024/06/09 16:34:31.272
0, 312, 2024/06/09 16:34:31.473
0, 312, 2024/06/09 16:34:31.675
0, 312, 2024/06/09 16:34:31.878
0, 312, 2024/06/09 16:34:32.079
0, 312, 2024/06/09 16:34:32.281
0, 312, 2024/06/09 16:34:32.483
0, 312, 2024/06/09 16:34:32.684
0, 312, 2024/06/09 16:34:32.887
0, 312, 2024/06/09 16:34:33.088
0, 312, 2024/06/09 16:34:33.290
0, 312, 2024/06/09 16:34:33.492
0, 312, 2024/06/09 16:34:33.694
0, 312, 2024/06/09 16:34:33.896
0, 312, 2024/06/09 16:34:34.098
0, 312, 2024/06/09 16:34:34.299
0, 312, 2024/06/09 16:34:34.501
0, 312, 2024/06/09 16:34:34.703
0, 312, 2024/06/09 16:34:34.905
0, 312, 2024/06/09 16:34:35.106
0, 312, 2024/06/09 16:34:35.308
0, 312, 2024/06/09 16:34:35.511
0, 312, 2024/06/09 16:34:35.713
0, 312, 2024/06/09 16:34:35.915
0, 312, 2024/06/09 16:34:36.117
0, 312, 2024/06/09 16:34:36.318
0, 312, 2024/06/09 16:34:36.520
0, 312, 2024/06/09 16:34:36.722
0, 312, 2024/06/09 16:34:36.924
0, 312, 2024/06/09 16:34:37.125
0, 312, 2024/06/09 16:34:37.327
0, 312, 2024/06/09 16:34:37.529
0, 312, 2024/06/09 16:34:37.730
0, 312, 2024/06/09 16:34:37.933
0, 312, 2024/06/09 16:34:38.134
0, 312, 2024/06/09 16:34:38.336
0, 312, 2024/06/09 16:34:38.538
2, 312, 2024/06/09 16:34:38.741
0, 312, 2024/06/09 16:34:38.943
0, 312, 2024/06/09 16:34:39.145
0, 312, 2024/06/09 16:34:39.347
0, 312, 2024/06/09 16:34:39.548
0, 312, 2024/06/09 16:34:39.750
0, 312, 2024/06/09 16:34:39.953
0, 312, 2024/06/09 16:34:40.154
0, 312, 2024/06/09 16:34:40.356
0, 312, 2024/06/09 16:34:40.558
0, 312, 2024/06/09 16:34:40.760
0, 312, 2024/06/09 16:34:40.963
0, 312, 2024/06/09 16:34:41.164
0, 312, 2024/06/09 16:34:41.366
0, 312, 2024/06/09 16:34:41.568
0, 312, 2024/06/09 16:34:41.770
0, 312, 2024/06/09 16:34:41.972
0, 312, 2024/06/09 16:34:42.174
0, 312, 2024/06/09 16:34:42.375
25, 408, 2024/06/09 16:34:42.578
29, 408, 2024/06/09 16:34:42.781
13, 368, 2024/06/09 16:34:42.985
9, 368, 2024/06/09 16:34:43.188
10, 368, 2024/06/09 16:34:43.393
10, 368, 2024/06/09 16:34:43.596
10, 368, 2024/06/09 16:34:43.799
9, 330, 2024/06/09 16:34:44.066
2, 385, 2024/06/09 16:34:44.267
8, 384, 2024/06/09 16:34:44.469
5, 384, 2024/06/09 16:34:44.670
4, 384, 2024/06/09 16:34:44.872
3, 384, 2024/06/09 16:34:45.073
3, 384, 2024/06/09 16:34:45.274
3, 424, 2024/06/09 16:34:45.476
8, 374, 2024/06/09 16:34:45.677
8, 378, 2024/06/09 16:34:45.879
4, 386, 2024/06/09 16:34:46.080
3, 376, 2024/06/09 16:34:46.282
4, 376, 2024/06/09 16:34:46.483
3, 376, 2024/06/09 16:34:46.684
3, 376, 2024/06/09 16:34:46.886
3, 376, 2024/06/09 16:34:47.087
1, 376, 2024/06/09 16:34:47.289
0, 379, 2024/06/09 16:34:47.490
1, 402, 2024/06/09 16:34:47.692
2, 409, 2024/06/09 16:34:47.894
0, 409, 2024/06/09 16:34:48.095
0, 409, 2024/06/09 16:34:48.297
0, 409, 2024/06/09 16:34:48.498
