utilization.gpu [%], memory.used [MiB], timestamp
0, 312, 2024/06/09 16:34:33.088
0, 312, 2024/06/09 16:34:33.290
0, 312, 2024/06/09 16:34:33.492
0, 312, 2024/06/09 16:34:33.694
0, 312, 2024/06/09 16:34:33.896
0, 312, 2024/06/09 16:34:34.098
0, 312, 2024/06/09 16:34:34.299
0, 312, 2024/06/09 16:34:34.501
0, 312, 2024/06/09 16:34:34.703
0, 312, 2024/06/09 16:34:34.905
0, 312, 2024/06/09 16:34:35.106
0, 312, 2024/06/09 16:34:35.308
0, 312, 2024/06/09 16:34:35.511
0, 312, 2024/06/09 16:34:35.713
0, 312, 2024/06/09 16:34:35.915
0, 312, 2024/06/09 16:34:36.117
0, 312, 2024/06/09 16:34:36.318
0, 312, 2024/06/09 16:34:36.520
0, 312, 2024/06/09 16:34:36.722
0, 312, 2024/06/09 16:34:36.924
0, 312, 2024/06/09 16:34:37.125
0, 312, 2024/06/09 16:34:37.327
0, 312, 2024/06/09 16:34:37.529
0, 312, 2024/06/09 16:34:37.730
0, 312, 2024/06/09 16:34:37.933
0, 312, 2024/06/09 16:34:38.134
0, 312, 2024/06/09 16:34:38.336
0, 312, 2024/06/09 16:34:38.538
2, 312, 2024/06/09 16:34:38.741
0, 312, 2024/06/09 16:34:38.943
0, 312, 2024/06/09 16:34:39.145
0, 312, 2024/06/09 16:34:39.347
0, 312, 2024/06/09 16:34:39.548
0, 312, 2024/06/09 16:34:39.750
0, 312, 2024/06/09 16:34:39.953
0, 312, 2024/06/09 16:34:40.154
0, 312, 2024/06/09 16:34:40.356
0, 312, 2024/06/09 16:34:40.558
0, 312, 2024/06/09 16:34:40.760
0, 312, 2024/06/09 16:34:40.963
0, 312, 2024/06/09 16:34:41.164
0, 312, 2024/06/09 16:34:41.366
0, 312, 2024/06/09 16:34:41.568
0, 312, 2024/06/09 16:34:41.770
0, 312, 2024/06/09 16:34:41.972
0, 312, 2024/06/09 16:34:42.174
0, 312, 2024/06/09 16:34:42.375
25, 408, 2024/06/09 16:34:42.578
29, 408, 2024/06/09 16:34:42.781
13, 368, 2024/06/09 16:34:42.985
9, 368, 2024/06/09 16:34:43.188
10, 368, 2024/06/09 16:34:43.393
10, 368, 2024/06/09 16:34:43.596
10, 368, 2024/06/09 16:34:43.799
9, 330, 2024/06/09 16:34:44.066
2, 385, 2024/06/09 16:34:44.267
8, 384, 2024/06/09 16:34:44.469
5, 384, 2024/06/09 16:34:44.670
4, 384, 2024/06/09 16:34:44.872
3, 384, 2024/06/09 16:34:45.073
3, 384, 2024/06/09 16:34:45.274
3, 424, 2024/06/09 16:34:45.476
8, 374, 2024/06/09 16:34:45.677
8, 378, 2024/06/09 16:34:45.879
4, 386, 2024/06/09 16:34:46.080
3, 376, 2024/06/09 16:34:46.282
4, 376, 2024/06/09 16:34:46.483
3, 376, 2024/06/09 16:34:46.684
3, 376, 2024/06/09 16:34:46.886
3, 376, 2024/06/09 16:34:47.087
1, 376, 2024/06/09 16:34:47.289
0, 379, 2024/06/09 16:34:47.490
1, 402, 2024/06/09 16:34:47.692
2, 409, 2024/06/09 16:34:47.894
0, 409, 2024/06/09 16:34:48.095
0, 409, 2024/06/09 16:34:48.297
0, 409, 2024/06/09 16:34:48.498
0, 409, 2024/06/09 16:34:48.699
0, 409, 2024/06/09 16:34:48.901
15, 448, 2024/06/09 16:34:49.104
24, 448, 2024/06/09 16:34:49.306
8, 450, 2024/06/09 16:34:49.509
0, 450, 2024/06/09 16:34:49.712
0, 450, 2024/06/09 16:34:49.915
0, 450, 2024/06/09 16:34:50.117
5, 450, 2024/06/09 16:34:50.318
9, 435, 2024/06/09 16:34:50.521
18, 435, 2024/06/09 16:34:50.725
8, 435, 2024/06/09 16:34:50.929
8, 439, 2024/06/09 16:34:51.131
22, 444, 2024/06/09 16:34:51.334
13, 444, 2024/06/09 16:34:51.538
0, 444, 2024/06/09 16:34:51.740
