cpu,memory,timestamp
5,9420.8,15:48:12
5,9420.8,15:48:12
10,9420.8,15:48:12
5,9420.8,15:48:12
10,9420.8,15:48:12
5,9420.8,15:48:13
65,9420.8,15:48:13
55,9420.8,15:48:13
71.4,9420.8,15:48:13
75,9420.8,15:48:13
75,9420.8,15:48:14
125,9420.8,15:48:14
240,9420.8,15:48:14
85,9420.8,15:48:14
85,9420.8,15:48:14
300,9420.8,15:48:15
285,9420.8,15:48:15
240,9420.8,15:48:15
205,9420.8,15:48:15
215,9420.8,15:48:15
130,9420.8,15:48:16
85,9420.8,15:48:16
80,9420.8,15:48:16
95,9420.8,15:48:16
104.8,9420.8,15:48:16
105,9420.8,15:48:17
175,9420.8,15:48:17
150,9420.8,15:48:17
105,9420.8,15:48:17
110,9420.8,15:48:17
155,9420.8,15:48:18
385,9420.8,15:48:18
390,9420.8,15:48:18
323.8,9420.8,15:48:18
400,9420.8,15:48:18
250,9420.8,15:48:19
330,9420.8,15:48:19
50,9420.8,15:48:19
200,9420.8,15:48:19
320,9420.8,15:48:19
205,9420.8,15:48:20
165,9420.8,15:48:20
130,9420.8,15:48:20
235,9420.8,15:48:20
225,9420.8,15:48:20
190,9420.8,15:48:21
128.6,9420.8,15:48:21
105,9420.8,15:48:21
110,9420.8,15:48:21
100,9420.8,15:48:21
105,9420.8,15:48:22
105,9420.8,15:48:22
105,9420.8,15:48:22
110,9420.8,15:48:22
100,9420.8,15:48:22
105,9420.8,15:48:23
100,9420.8,15:48:23
105,9420.8,15:48:23
105,9420.8,15:48:23
105,9420.8,15:48:23
105,9420.8,15:48:24
105,9420.8,15:48:24
104.8,9420.8,15:48:24
110,9420.8,15:48:24
100,9420.8,15:48:24
110,9420.8,15:48:25
230,9420.8,15:48:25
375,9420.8,15:48:25
395,9420.8,15:48:25
380,9420.8,15:48:25
400,9420.8,15:48:26
355,9420.8,15:48:26
390,9420.8,15:48:26
400,9420.8,15:48:26
395,9420.8,15:48:26
400,9420.8,15:48:27
315,9420.8,15:48:27
385.7,9420.8,15:48:27
400,9420.8,15:48:27
390,9420.8,15:48:27
375,9420.8,15:48:28
395,9420.8,15:48:28
400,9420.8,15:48:28
395,9420.8,15:48:28
245,9420.8,15:48:28
390,9420.8,15:48:29
395,9420.8,15:48:29
400,9420.8,15:48:29
395,9420.8,15:48:29
395,9420.8,15:48:29
400,9420.8,15:48:30
395,9420.8,15:48:30
395,9420.8,15:48:30
381,9420.8,15:48:30
390,9420.8,15:48:30
400,9420.8,15:48:31
305,9420.8,15:48:31
155,9420.8,15:48:31
200,9420.8,15:48:31
265,9420.8,15:48:31
130,9420.8,15:48:32
155,9420.8,15:48:32
255,9420.8,15:48:32
320,9420.8,15:48:32
280,9420.8,15:48:32
180,9420.8,15:48:33
170,9420.8,15:48:33
233.3,9420.8,15:48:33
305,9420.8,15:48:33
270,9420.8,15:48:33
205,9420.8,15:48:34
145,9420.8,15:48:34
160,9420.8,15:48:34
155,9420.8,15:48:34
228.6,9420.8,15:48:34
355,9420.8,15:48:35
390,9420.8,15:48:35
360,9420.8,15:48:35
335,9420.8,15:48:35
310,9420.8,15:48:35
300,9420.8,15:48:36
261.9,9420.8,15:48:36
315,9420.8,15:48:36
340,9420.8,15:48:36
275,9420.8,15:48:36
335,9420.8,15:48:37
380,9420.8,15:48:37
350,9420.8,15:48:37
370,9420.8,15:48:37
375,9420.8,15:48:37
376.2,9420.8,15:48:38
365,9420.8,15:48:38
395,9420.8,15:48:38
390,9420.8,15:48:38
400,9420.8,15:48:39
390,9420.8,15:48:39
365,9420.8,15:48:39
375,9420.8,15:48:39
395,9420.8,15:48:39
385,9420.8,15:48:40
361.9,9420.8,15:48:40
390,9420.8,15:48:40
385,9420.8,15:48:40
385,9420.8,15:48:40
385,9420.8,15:48:41
385,9420.8,15:48:41
375,9420.8,15:48:41
385,9420.8,15:48:41
385,9420.8,15:48:41
345,9420.8,15:48:42
375,9420.8,15:48:42
371.4,9420.8,15:48:42
390,9420.8,15:48:42
395,9420.8,15:48:42
380,9420.8,15:48:43
370,9420.8,15:48:43
335,9420.8,15:48:43
360,9420.8,15:48:43
365,9420.8,15:48:43
385,9420.8,15:48:44
390,9420.8,15:48:44
385,9420.8,15:48:44
385,9420.8,15:48:44
390,9420.8,15:48:44
376.2,9420.8,15:48:45
385,9420.8,15:48:45
395,9420.8,15:48:45
385,9420.8,15:48:45
305,9420.8,15:48:45
360,9420.8,15:48:46
275,9420.8,15:48:46
345,9420.8,15:48:46
175,9420.8,15:48:46
85,9420.8,15:48:46
15,9420.8,15:48:47
175,9420.8,15:48:47
310,9420.8,15:48:47
370,9420.8,15:48:47
360,9420.8,15:48:47
275,9420.8,15:48:48
100,9420.8,15:48:48
20,9420.8,15:48:48
285,9420.8,15:48:48
380,9420.8,15:48:48
365,9420.8,15:48:49
370,9420.8,15:48:49
235,9420.8,15:48:49
370,9420.8,15:48:49
375,9420.8,15:48:49
390,9420.8,15:48:50
390,9420.8,15:48:50
380,9420.8,15:48:50
250,9420.8,15:48:50
285,9420.8,15:48:50
275,9420.8,15:48:51
365,9420.8,15:48:51
361.9,9420.8,15:48:51
345,9420.8,15:48:51
55,9420.8,15:48:51
160,9420.8,15:48:52
365,9420.8,15:48:52
360,9420.8,15:48:52
380,9420.8,15:48:52
375,9420.8,15:48:52
366.7,9420.8,15:48:53
370,9420.8,15:48:53
370,9420.8,15:48:53
370,9420.8,15:48:53
375,9420.8,15:48:53
385,9420.8,15:48:54
360,9420.8,15:48:54
335,9420.8,15:48:54
115,9420.8,15:48:54
205,9420.8,15:48:54
365,9420.8,15:48:55
275,9420.8,15:48:55
200,9420.8,15:48:55
240,9420.8,15:48:55
213.6,9420.8,15:48:55
390,9420.8,15:49:03
370,9420.8,15:49:03
365,9420.8,15:49:03
370,9420.8,15:49:03
390,9420.8,15:49:03
340,9420.8,15:49:04
370,9420.8,15:49:04
205,9420.8,15:49:04
23.8,9420.8,15:49:04
335,9420.8,15:49:04
390,9420.8,15:49:05
380,9420.8,15:49:05
375,9420.8,15:49:05
335,9420.8,15:49:05
75,9420.8,15:49:05
130,9420.8,15:49:06
355,9420.8,15:49:06
370,9420.8,15:49:06
370,9420.8,15:49:06
355,9420.8,15:49:06
375,9420.8,15:49:07
370,9420.8,15:49:07
350,9420.8,15:49:07
140,9420.8,15:49:07
61.9,9420.8,15:49:07
25,9420.8,15:49:08
80,9420.8,15:49:08
195,9420.8,15:49:08
325,9420.8,15:49:08
365,9420.8,15:49:08
360,9420.8,15:49:09
220,9420.8,15:49:09
25,9420.8,15:49:09
110,9420.8,15:49:09
340,9420.8,15:49:09
365,9420.8,15:49:10
375,9420.8,15:49:10
335,9420.8,15:49:10
70,9420.8,15:49:10
25,9420.8,15:49:10
210,9420.8,15:49:11
57.1,9420.8,15:49:11
20,9420.8,15:49:11
100,9420.8,15:49:11
160,9420.8,15:49:11
20,9420.8,15:49:12
30,9420.8,15:49:12
245,9420.8,15:49:12
365,9420.8,15:49:12
360,9420.8,15:49:12
342.9,9420.8,15:49:13
355,9420.8,15:49:13
350,9420.8,15:49:13
130,9420.8,15:49:13
15,9420.8,15:49:13
335,9420.8,15:49:14
380,9420.8,15:49:14
215,9420.8,15:49:14
15,9420.8,15:49:14
60,9420.8,15:49:14
295,9420.8,15:49:15
390,9420.8,15:49:15
380,9420.8,15:49:15
375,9420.8,15:49:15
380,9420.8,15:49:15
375,9420.8,15:49:16
166.7,9420.8,15:49:16
145,9420.8,15:49:16
125,9420.8,15:49:16
120,9420.8,15:49:16
165,9420.8,15:49:17
135,9420.8,15:49:17
120,9420.8,15:49:17
125,9420.8,15:49:17
125,9420.8,15:49:17
120,9420.8,15:49:18
130,9420.8,15:49:18
120,9420.8,15:49:18
115,9420.8,15:49:18
125,9420.8,15:49:18
135,9420.8,15:49:19
135,9420.8,15:49:19
109.5,9420.8,15:49:19
120,9420.8,15:49:19
155,9420.8,15:49:19
140,9420.8,15:49:20
145,9420.8,15:49:20
120,9420.8,15:49:20
135,9420.8,15:49:20
130,9420.8,15:49:20
180,9420.8,15:49:21
125,9420.8,15:49:21
130,9420.8,15:49:21
125,9420.8,15:49:21
125,9420.8,15:49:21
371.4,9420.8,15:49:22
325,9420.8,15:49:22
360,9420.8,15:49:22
350,9420.8,15:49:22
345,9420.8,15:49:22
380,9420.8,15:49:23
350,9420.8,15:49:23
390,9420.8,15:49:23
365,9420.8,15:49:23
360,9420.8,15:49:23
375,9420.8,15:49:24
360,9420.8,15:49:24
280,9420.8,15:49:24
170,9420.8,15:49:24
195.2,9420.8,15:49:24
145,9420.8,15:49:25
250,9420.8,15:49:25
345,9420.8,15:49:25
380,9420.8,15:49:25
380,9420.8,15:49:25
275,9420.8,15:49:26
325,9420.8,15:49:26
295,9420.8,15:49:26
305,9420.8,15:49:26
345,9420.8,15:49:26
320,9420.8,15:49:27
315,9420.8,15:49:27
352.4,9420.8,15:49:27
370,9420.8,15:49:27
325,9420.8,15:49:28
320,9420.8,15:49:28
345,9420.8,15:49:28
380,9420.8,15:49:28
366.7,9420.8,15:49:28
385,9420.8,15:49:29
385,9420.8,15:49:29
385,9420.8,15:49:29
390,9420.8,15:49:29
400,9420.8,15:49:29
370,9420.8,15:49:30
385,9420.8,15:49:30
361.9,9420.8,15:49:30
370,9420.8,15:49:30
375,9420.8,15:49:30
390,9420.8,15:49:31
380,9420.8,15:49:31
380,9420.8,15:49:31
370,9420.8,15:49:31
385,9420.8,15:49:31
365,9420.8,15:49:32
350,9420.8,15:49:32
361.9,9420.8,15:49:32
385,9420.8,15:49:32
350,9420.8,15:49:32
380,9420.8,15:49:33
365,9420.8,15:49:33
390,9420.8,15:49:33
395,9420.8,15:49:33
375,9420.8,15:49:33
350,9420.8,15:49:34
370,9420.8,15:49:34
385,9420.8,15:49:34
390,9420.8,15:49:34
385,9420.8,15:49:34
390,9420.8,15:49:35
376.2,9420.8,15:49:35
390,9420.8,15:49:35
385,9420.8,15:49:35
390,9420.8,15:49:35
380,9420.8,15:49:36
280,9420.8,15:49:36
355,9420.8,15:49:36
295,9420.8,15:49:36
345,9420.8,15:49:36
190,9420.8,15:49:37
145,9420.8,15:49:37
150,9420.8,15:49:37
215,9420.8,15:49:37
355,9420.8,15:49:37
360,9420.8,15:49:38
352.4,9420.8,15:49:38
295,9420.8,15:49:38
155,9420.8,15:49:38
20,9420.8,15:49:38
220,9420.8,15:49:39
380,9420.8,15:49:39
385,9420.8,15:49:39
375,9420.8,15:49:39
260,9420.8,15:49:39
355,9420.8,15:49:40
395,9420.8,15:49:40
380,9420.8,15:49:40
380,9420.8,15:49:40
315,9420.8,15:49:40
230,9420.8,15:49:41
305,9420.8,15:49:41
247.6,9420.8,15:49:41
355,9420.8,15:49:41
375,9420.8,15:49:41
335,9420.8,15:49:42
55,9420.8,15:49:42
120,9420.8,15:49:42
330,9420.8,15:49:42
360,9420.8,15:49:42
370,9420.8,15:49:43
390,9420.8,15:49:43
385,9420.8,15:49:43
385,9420.8,15:49:43
365,9420.8,15:49:43
205,9420.8,15:49:51
275,9420.8,15:49:51
375,9420.8,15:49:51
365,9420.8,15:49:51
385,9420.8,15:49:51
380,9420.8,15:49:52
360,9420.8,15:49:52
375,9420.8,15:49:52
380,9420.8,15:49:52
375,9420.8,15:49:52
320,9420.8,15:49:53
355,9420.8,15:49:53
325,9420.8,15:49:53
40,9420.8,15:49:53
300,9420.8,15:49:53
361.9,9420.8,15:49:54
370,9420.8,15:49:54
385,9420.8,15:49:54
285,9420.8,15:49:54
45,9420.8,15:49:54
140,9420.8,15:49:55
370,9420.8,15:49:55
380,9420.8,15:49:55
355,9420.8,15:49:55
365,9420.8,15:49:55
360,9420.8,15:49:56
390,9420.8,15:49:56
375,9420.8,15:49:56
360,9420.8,15:49:56
250,9420.8,15:49:56
40,9420.8,15:49:57
276.2,9420.8,15:49:57
370,9420.8,15:49:57
355,9420.8,15:49:57
145,9420.8,15:49:57
50,9420.8,15:49:58
75,9420.8,15:49:58
245,9420.8,15:49:58
365,9420.8,15:49:58
360,9420.8,15:49:58
325,9420.8,15:49:59
55,9420.8,15:49:59
85,9420.8,15:49:59
190,9420.8,15:49:59
100,9420.8,15:49:59
20,9420.8,15:50:00
65,9420.8,15:50:00
185.7,9420.8,15:50:00
25,9420.8,15:50:00
20,9420.8,15:50:00
210,9420.8,15:50:01
370,9420.8,15:50:01
360,9420.8,15:50:01
370,9420.8,15:50:01
340,9420.8,15:50:01
340,9420.8,15:50:02
300,9420.8,15:50:02
15,9420.8,15:50:02
150,9420.8,15:50:02
360,9420.8,15:50:02
347.6,9420.8,15:50:03
170,9420.8,15:50:03
15,9420.8,15:50:03
30,9420.8,15:50:03
165,9420.8,15:50:03
395,9420.8,15:50:04
380,9420.8,15:50:04
395,9420.8,15:50:04
375,9420.8,15:50:04
390,9420.8,15:50:04
280,9420.8,15:50:05
145,9420.8,15:50:05
135,9420.8,15:50:05
120,9420.8,15:50:05
140,9420.8,15:50:05
114.3,9420.8,15:50:06
120,9420.8,15:50:06
130,9420.8,15:50:06
120,9420.8,15:50:06
115,9420.8,15:50:06
120,9420.8,15:50:07
115,9420.8,15:50:07
120,9420.8,15:50:07
115,9420.8,15:50:07
120,9420.8,15:50:07
115,9420.8,15:50:08
120,9420.8,15:50:08
115,9420.8,15:50:08
125,9420.8,15:50:08
135,9420.8,15:50:08
166.7,9420.8,15:50:09
135,9420.8,15:50:09
145,9420.8,15:50:09
140,9420.8,15:50:09
125,9420.8,15:50:09
130,9420.8,15:50:10
130,9420.8,15:50:10
125,9420.8,15:50:10
125,9420.8,15:50:10
330,9420.8,15:50:10
370,9420.8,15:50:11
390,9420.8,15:50:11
390,9420.8,15:50:11
355,9420.8,15:50:11
360,9420.8,15:50:11
385,9420.8,15:50:12
352.4,9420.8,15:50:12
390,9420.8,15:50:12
385,9420.8,15:50:12
375,9420.8,15:50:12
310,9420.8,15:50:13
260,9420.8,15:50:13
