utilization.gpu [%], memory.used [MiB], timestamp
0, 497, 2024/06/10 01:50:25.574
0, 497, 2024/06/10 01:50:25.778
0, 497, 2024/06/10 01:50:25.980
0, 497, 2024/06/10 01:50:26.181
0, 497, 2024/06/10 01:50:26.383
0, 497, 2024/06/10 01:50:26.585
0, 497, 2024/06/10 01:50:26.788
0, 497, 2024/06/10 01:50:26.989
0, 497, 2024/06/10 01:50:27.191
0, 497, 2024/06/10 01:50:27.393
0, 497, 2024/06/10 01:50:27.594
0, 497, 2024/06/10 01:50:27.797
0, 497, 2024/06/10 01:50:27.998
0, 497, 2024/06/10 01:50:28.200
0, 497, 2024/06/10 01:50:28.402
0, 497, 2024/06/10 01:50:28.603
0, 497, 2024/06/10 01:50:28.806
0, 497, 2024/06/10 01:50:29.008
0, 497, 2024/06/10 01:50:29.209
0, 497, 2024/06/10 01:50:29.411
0, 497, 2024/06/10 01:50:29.612
0, 497, 2024/06/10 01:50:29.815
0, 497, 2024/06/10 01:50:30.016
0, 497, 2024/06/10 01:50:30.218
0, 497, 2024/06/10 01:50:30.420
0, 497, 2024/06/10 01:50:30.621
0, 497, 2024/06/10 01:50:30.824
0, 497, 2024/06/10 01:50:31.025
0, 497, 2024/06/10 01:50:31.227
0, 497, 2024/06/10 01:50:31.429
0, 497, 2024/06/10 01:50:31.630
0, 497, 2024/06/10 01:50:31.833
0, 497, 2024/06/10 01:50:32.034
0, 497, 2024/06/10 01:50:32.236
0, 497, 2024/06/10 01:50:32.438
0, 497, 2024/06/10 01:50:32.639
0, 497, 2024/06/10 01:50:32.842
0, 497, 2024/06/10 01:50:33.043
0, 497, 2024/06/10 01:50:33.245
0, 497, 2024/06/10 01:50:33.446
0, 497, 2024/06/10 01:50:33.648
0, 497, 2024/06/10 01:50:33.850
0, 497, 2024/06/10 01:50:34.052
0, 497, 2024/06/10 01:50:34.254
0, 497, 2024/06/10 01:50:34.455
0, 497, 2024/06/10 01:50:34.657
0, 497, 2024/06/10 01:50:34.859
0, 497, 2024/06/10 01:50:35.061
0, 497, 2024/06/10 01:50:35.263
0, 497, 2024/06/10 01:50:35.465
0, 497, 2024/06/10 01:50:35.666
0, 497, 2024/06/10 01:50:35.869
0, 497, 2024/06/10 01:50:36.070
0, 497, 2024/06/10 01:50:36.272
0, 497, 2024/06/10 01:50:36.474
0, 497, 2024/06/10 01:50:36.676
0, 497, 2024/06/10 01:50:36.877
0, 497, 2024/06/10 01:50:37.079
0, 497, 2024/06/10 01:50:37.281
0, 497, 2024/06/10 01:50:37.482
0, 497, 2024/06/10 01:50:37.685
0, 497, 2024/06/10 01:50:37.886
5, 458, 2024/06/10 01:50:38.088
0, 458, 2024/06/10 01:50:38.292
0, 458, 2024/06/10 01:50:38.494
0, 458, 2024/06/10 01:50:38.698
5, 459, 2024/06/10 01:50:38.902
13, 459, 2024/06/10 01:50:39.107
11, 459, 2024/06/10 01:50:39.309
0, 459, 2024/06/10 01:50:39.512
0, 459, 2024/06/10 01:50:39.716
0, 459, 2024/06/10 01:50:39.917
0, 459, 2024/06/10 01:50:40.119
0, 459, 2024/06/10 01:50:40.321
0, 459, 2024/06/10 01:50:40.523
0, 459, 2024/06/10 01:50:40.725
0, 459, 2024/06/10 01:50:40.927
0, 459, 2024/06/10 01:50:41.129
0, 459, 2024/06/10 01:50:41.330
0, 459, 2024/06/10 01:50:41.532
0, 459, 2024/06/10 01:50:41.735
0, 459, 2024/06/10 01:50:41.936
0, 459, 2024/06/10 01:50:42.138
19, 492, 2024/06/10 01:50:42.341
21, 452, 2024/06/10 01:50:42.544
1, 452, 2024/06/10 01:50:42.748
0, 452, 2024/06/10 01:50:42.950
0, 452, 2024/06/10 01:50:43.151
0, 452, 2024/06/10 01:50:43.353
1, 422, 2024/06/10 01:50:43.554
8, 464, 2024/06/10 01:50:43.756
3, 463, 2024/06/10 01:50:43.957
0, 463, 2024/06/10 01:50:44.158
0, 463, 2024/06/10 01:50:44.360
0, 463, 2024/06/10 01:50:44.561
0, 463, 2024/06/10 01:50:44.763
2, 463, 2024/06/10 01:50:44.964
0, 463, 2024/06/10 01:50:45.165
0, 463, 2024/06/10 01:50:45.367
0, 463, 2024/06/10 01:50:45.568
2, 463, 2024/06/10 01:50:45.770
0, 463, 2024/06/10 01:50:45.971
0, 463, 2024/06/10 01:50:46.172
0, 463, 2024/06/10 01:50:46.374
3, 463, 2024/06/10 01:50:46.575
3, 463, 2024/06/10 01:50:46.778
1, 471, 2024/06/10 01:50:46.981
6, 471, 2024/06/10 01:50:47.183
0, 471, 2024/06/10 01:50:47.386
0, 471, 2024/06/10 01:50:47.588
4, 471, 2024/06/10 01:50:47.795
6, 471, 2024/06/10 01:50:47.997
1, 471, 2024/06/10 01:50:48.200
12, 471, 2024/06/10 01:50:48.404
1, 471, 2024/06/10 01:50:48.607
0, 471, 2024/06/10 01:50:48.810
7, 471, 2024/06/10 01:50:49.013
5, 471, 2024/06/10 01:50:49.216
5, 471, 2024/06/10 01:50:49.417
9, 471, 2024/06/10 01:50:49.620
0, 471, 2024/06/10 01:50:49.824
5, 471, 2024/06/10 01:50:50.027
