utilization.gpu [%], memory.used [MiB], timestamp
0, 386, 2024/06/09 18:44:34.684
0, 386, 2024/06/09 18:44:34.887
0, 386, 2024/06/09 18:44:35.090
0, 386, 2024/06/09 18:44:35.292
0, 386, 2024/06/09 18:44:35.493
0, 386, 2024/06/09 18:44:35.695
0, 386, 2024/06/09 18:44:35.897
0, 386, 2024/06/09 18:44:36.099
0, 386, 2024/06/09 18:44:36.301
0, 386, 2024/06/09 18:44:36.503
0, 386, 2024/06/09 18:44:36.704
0, 386, 2024/06/09 18:44:36.906
0, 386, 2024/06/09 18:44:37.108
0, 386, 2024/06/09 18:44:37.310
0, 386, 2024/06/09 18:44:37.511
0, 386, 2024/06/09 18:44:37.713
0, 386, 2024/06/09 18:44:37.915
0, 386, 2024/06/09 18:44:38.117
0, 386, 2024/06/09 18:44:38.319
0, 386, 2024/06/09 18:44:38.520
0, 386, 2024/06/09 18:44:38.722
0, 386, 2024/06/09 18:44:38.924
0, 386, 2024/06/09 18:44:39.126
0, 386, 2024/06/09 18:44:39.327
0, 386, 2024/06/09 18:44:39.529
0, 386, 2024/06/09 18:44:39.731
0, 386, 2024/06/09 18:44:39.932
0, 386, 2024/06/09 18:44:40.135
0, 386, 2024/06/09 18:44:40.336
0, 386, 2024/06/09 18:44:40.538
0, 386, 2024/06/09 18:44:40.740
0, 386, 2024/06/09 18:44:40.941
0, 386, 2024/06/09 18:44:41.144
0, 386, 2024/06/09 18:44:41.345
0, 386, 2024/06/09 18:44:41.547
0, 386, 2024/06/09 18:44:41.749
0, 386, 2024/06/09 18:44:41.950
0, 386, 2024/06/09 18:44:42.153
0, 386, 2024/06/09 18:44:42.354
0, 386, 2024/06/09 18:44:42.556
0, 386, 2024/06/09 18:44:42.757
0, 386, 2024/06/09 18:44:42.959
0, 386, 2024/06/09 18:44:43.162
0, 386, 2024/06/09 18:44:43.363
0, 386, 2024/06/09 18:44:43.565
0, 386, 2024/06/09 18:44:43.766
0, 386, 2024/06/09 18:44:43.968
0, 386, 2024/06/09 18:44:44.170
0, 386, 2024/06/09 18:44:44.372
0, 386, 2024/06/09 18:44:44.573
0, 386, 2024/06/09 18:44:44.775
0, 386, 2024/06/09 18:44:44.977
0, 386, 2024/06/09 18:44:45.179
0, 386, 2024/06/09 18:44:45.381
0, 386, 2024/06/09 18:44:45.582
0, 386, 2024/06/09 18:44:45.784
0, 386, 2024/06/09 18:44:45.986
0, 386, 2024/06/09 18:44:46.188
0, 386, 2024/06/09 18:44:46.390
0, 386, 2024/06/09 18:44:46.592
0, 386, 2024/06/09 18:44:46.793
0, 386, 2024/06/09 18:44:46.995
0, 386, 2024/06/09 18:44:47.197
0, 386, 2024/06/09 18:44:47.399
0, 386, 2024/06/09 18:44:47.600
0, 386, 2024/06/09 18:44:47.802
0, 386, 2024/06/09 18:44:48.004
0, 386, 2024/06/09 18:44:48.206
0, 386, 2024/06/09 18:44:48.408
0, 386, 2024/06/09 18:44:48.609
0, 386, 2024/06/09 18:44:48.811
0, 386, 2024/06/09 18:44:49.013
0, 386, 2024/06/09 18:44:49.215
0, 386, 2024/06/09 18:44:49.417
0, 386, 2024/06/09 18:44:49.618
0, 386, 2024/06/09 18:44:49.820
0, 386, 2024/06/09 18:44:50.022
0, 386, 2024/06/09 18:44:50.224
0, 386, 2024/06/09 18:44:50.426
0, 386, 2024/06/09 18:44:50.627
0, 386, 2024/06/09 18:44:50.829
0, 386, 2024/06/09 18:44:51.030
0, 386, 2024/06/09 18:44:51.233
0, 386, 2024/06/09 18:44:51.434
0, 386, 2024/06/09 18:44:51.636
0, 386, 2024/06/09 18:44:51.838
0, 386, 2024/06/09 18:44:52.040
0, 386, 2024/06/09 18:44:52.242
0, 386, 2024/06/09 18:44:52.443
0, 386, 2024/06/09 18:44:52.645
0, 386, 2024/06/09 18:44:52.847
0, 386, 2024/06/09 18:44:53.048
0, 386, 2024/06/09 18:44:53.250
0, 386, 2024/06/09 18:44:53.452
0, 386, 2024/06/09 18:44:53.654
0, 386, 2024/06/09 18:44:53.855
0, 386, 2024/06/09 18:44:54.057
0, 386, 2024/06/09 18:44:54.259
0, 386, 2024/06/09 18:44:54.461
0, 386, 2024/06/09 18:44:54.662
0, 386, 2024/06/09 18:44:54.864
0, 386, 2024/06/09 18:44:55.066
0, 386, 2024/06/09 18:44:55.268
0, 386, 2024/06/09 18:44:55.470
0, 386, 2024/06/09 18:44:55.672
0, 386, 2024/06/09 18:44:55.873
0, 386, 2024/06/09 18:44:56.076
0, 386, 2024/06/09 18:44:56.277
0, 386, 2024/06/09 18:44:56.479
0, 386, 2024/06/09 18:44:56.681
0, 386, 2024/06/09 18:44:56.882
0, 386, 2024/06/09 18:44:57.085
0, 386, 2024/06/09 18:44:57.286
0, 386, 2024/06/09 18:44:57.488
0, 386, 2024/06/09 18:44:57.690
0, 386, 2024/06/09 18:44:57.891
0, 386, 2024/06/09 18:44:58.093
0, 386, 2024/06/09 18:44:58.295
0, 386, 2024/06/09 18:44:58.497
0, 386, 2024/06/09 18:44:58.698
0, 386, 2024/06/09 18:44:58.900
0, 386, 2024/06/09 18:44:59.103
0, 386, 2024/06/09 18:44:59.304
0, 386, 2024/06/09 18:44:59.506
0, 386, 2024/06/09 18:44:59.708
0, 386, 2024/06/09 18:44:59.909
0, 386, 2024/06/09 18:45:00.112
0, 386, 2024/06/09 18:45:00.313
0, 386, 2024/06/09 18:45:00.515
0, 386, 2024/06/09 18:45:00.717
0, 386, 2024/06/09 18:45:00.919
0, 386, 2024/06/09 18:45:01.121
0, 386, 2024/06/09 18:45:01.323
0, 386, 2024/06/09 18:45:01.524
0, 386, 2024/06/09 18:45:01.726
0, 386, 2024/06/09 18:45:01.928
0, 386, 2024/06/09 18:45:02.130
0, 386, 2024/06/09 18:45:02.331
0, 386, 2024/06/09 18:45:02.533
0, 386, 2024/06/09 18:45:02.735
0, 386, 2024/06/09 18:45:02.936
0, 386, 2024/06/09 18:45:03.139
0, 386, 2024/06/09 18:45:03.341
0, 386, 2024/06/09 18:45:03.542
0, 386, 2024/06/09 18:45:03.744
0, 386, 2024/06/09 18:45:03.945
0, 386, 2024/06/09 18:45:04.148
0, 386, 2024/06/09 18:45:04.349
0, 386, 2024/06/09 18:45:04.551
0, 386, 2024/06/09 18:45:04.753
0, 386, 2024/06/09 18:45:04.954
0, 386, 2024/06/09 18:45:05.157
0, 386, 2024/06/09 18:45:05.358
0, 386, 2024/06/09 18:45:05.560
0, 386, 2024/06/09 18:45:05.762
0, 386, 2024/06/09 18:45:05.963
0, 386, 2024/06/09 18:45:06.166
0, 386, 2024/06/09 18:45:06.367
2, 386, 2024/06/09 18:45:06.569
0, 386, 2024/06/09 18:45:06.771
0, 386, 2024/06/09 18:45:06.973
0, 386, 2024/06/09 18:45:07.176
0, 386, 2024/06/09 18:45:07.378
4, 386, 2024/06/09 18:45:07.579
3, 386, 2024/06/09 18:45:07.782
0, 386, 2024/06/09 18:45:07.985
0, 386, 2024/06/09 18:45:08.188
0, 386, 2024/06/09 18:45:08.389
0, 386, 2024/06/09 18:45:08.591
3, 386, 2024/06/09 18:45:08.794
0, 386, 2024/06/09 18:45:08.997
0, 386, 2024/06/09 18:45:09.200
0, 386, 2024/06/09 18:45:09.402
0, 386, 2024/06/09 18:45:09.604
0, 386, 2024/06/09 18:45:09.805
0, 386, 2024/06/09 18:45:10.007
0, 386, 2024/06/09 18:45:10.209
0, 386, 2024/06/09 18:45:10.411
0, 386, 2024/06/09 18:45:10.613
0, 386, 2024/06/09 18:45:10.814
0, 386, 2024/06/09 18:45:11.016
27, 363, 2024/06/09 18:45:11.218
26, 338, 2024/06/09 18:45:11.421
1, 338, 2024/06/09 18:45:11.624
6, 336, 2024/06/09 18:45:11.840
6, 372, 2024/06/09 18:45:12.042
7, 396, 2024/06/09 18:45:12.243
14, 471, 2024/06/09 18:45:12.445
4, 387, 2024/06/09 18:45:12.646
9, 379, 2024/06/09 18:45:12.848
3, 387, 2024/06/09 18:45:13.049
11, 395, 2024/06/09 18:45:13.251
3, 395, 2024/06/09 18:45:13.452
4, 371, 2024/06/09 18:45:13.654
3, 371, 2024/06/09 18:45:13.855
3, 371, 2024/06/09 18:45:14.056
2, 371, 2024/06/09 18:45:14.258
2, 371, 2024/06/09 18:45:14.459
3, 371, 2024/06/09 18:45:14.661
3, 371, 2024/06/09 18:45:14.862
2, 371, 2024/06/09 18:45:15.066
10, 371, 2024/06/09 18:45:15.271
23, 454, 2024/06/09 18:45:15.473
28, 438, 2024/06/09 18:45:15.676
24, 408, 2024/06/09 18:45:15.879
8, 384, 2024/06/09 18:45:16.083
27, 394, 2024/06/09 18:45:16.286
24, 437, 2024/06/09 18:45:16.489
33, 423, 2024/06/09 18:45:16.692
23, 417, 2024/06/09 18:45:16.895
5, 401, 2024/06/09 18:45:17.099
25, 475, 2024/06/09 18:45:17.302
43, 448, 2024/06/09 18:45:17.505
8, 466, 2024/06/09 18:45:17.708
32, 396, 2024/06/09 18:45:17.911
4, 444, 2024/06/09 18:45:18.115
28, 412, 2024/06/09 18:45:18.317
37, 455, 2024/06/09 18:45:18.521
15, 476, 2024/06/09 18:45:18.724
24, 436, 2024/06/09 18:45:18.927
6, 454, 2024/06/09 18:45:19.131
28, 519, 2024/06/09 18:45:19.334
57, 489, 2024/06/09 18:45:19.537
11, 457, 2024/06/09 18:45:19.740
