utilization.gpu [%], memory.used [MiB], timestamp
0, 435, 2024/06/09 19:23:57.198
0, 435, 2024/06/09 19:23:57.399
0, 435, 2024/06/09 19:23:57.601
0, 435, 2024/06/09 19:23:57.803
0, 435, 2024/06/09 19:23:58.004
0, 435, 2024/06/09 19:23:58.206
0, 435, 2024/06/09 19:23:58.408
0, 435, 2024/06/09 19:23:58.610
0, 435, 2024/06/09 19:23:58.811
7, 437, 2024/06/09 19:23:59.014
25, 483, 2024/06/09 19:23:59.218
35, 494, 2024/06/09 19:23:59.421
28, 520, 2024/06/09 19:23:59.624
37, 477, 2024/06/09 19:23:59.827
33, 486, 2024/06/09 19:24:00.029
49, 477, 2024/06/09 19:24:00.234
9, 518, 2024/06/09 19:24:00.436
10, 529, 2024/06/09 19:24:00.637
7, 521, 2024/06/09 19:24:00.838
6, 541, 2024/06/09 19:24:01.040
3, 541, 2024/06/09 19:24:01.242
3, 541, 2024/06/09 19:24:01.443
4, 541, 2024/06/09 19:24:01.645
4, 557, 2024/06/09 19:24:01.846
4, 577, 2024/06/09 19:24:02.048
4, 583, 2024/06/09 19:24:02.249
4, 589, 2024/06/09 19:24:02.450
1, 589, 2024/06/09 19:24:02.652
0, 589, 2024/06/09 19:24:02.853
0, 589, 2024/06/09 19:24:03.055
0, 589, 2024/06/09 19:24:03.256
0, 589, 2024/06/09 19:24:03.458
0, 589, 2024/06/09 19:24:03.659
0, 589, 2024/06/09 19:24:03.860
0, 589, 2024/06/09 19:24:04.065
0, 589, 2024/06/09 19:24:04.267
0, 589, 2024/06/09 19:24:04.469
0, 589, 2024/06/09 19:24:04.670
0, 589, 2024/06/09 19:24:04.872
0, 589, 2024/06/09 19:24:05.074
0, 589, 2024/06/09 19:24:05.276
0, 589, 2024/06/09 19:24:05.478
0, 589, 2024/06/09 19:24:05.679
0, 589, 2024/06/09 19:24:05.881
0, 589, 2024/06/09 19:24:06.083
18, 589, 2024/06/09 19:24:06.286
30, 589, 2024/06/09 19:24:06.488
34, 589, 2024/06/09 19:24:06.691
30, 589, 2024/06/09 19:24:06.894
32, 577, 2024/06/09 19:24:07.098
32, 565, 2024/06/09 19:24:07.306
32, 565, 2024/06/09 19:24:07.510
31, 522, 2024/06/09 19:24:07.712
38, 522, 2024/06/09 19:24:07.915
30, 522, 2024/06/09 19:24:08.119
32, 522, 2024/06/09 19:24:08.322
17, 522, 2024/06/09 19:24:08.525
6, 522, 2024/06/09 19:24:08.728
33, 521, 2024/06/09 19:24:08.931
14, 521, 2024/06/09 19:24:09.135
12, 521, 2024/06/09 19:24:09.339
32, 521, 2024/06/09 19:24:09.544
30, 521, 2024/06/09 19:24:09.747
34, 525, 2024/06/09 19:24:09.950
30, 525, 2024/06/09 19:24:10.154
28, 525, 2024/06/09 19:24:10.357
2, 525, 2024/06/09 19:24:10.560
24, 525, 2024/06/09 19:24:10.762
24, 525, 2024/06/09 19:24:10.966
1, 525, 2024/06/09 19:24:11.170
1, 525, 2024/06/09 19:24:11.373
29, 525, 2024/06/09 19:24:11.577
30, 525, 2024/06/09 19:24:11.779
30, 525, 2024/06/09 19:24:11.982
31, 525, 2024/06/09 19:24:12.186
30, 525, 2024/06/09 19:24:12.389
18, 525, 2024/06/09 19:24:12.592
4, 525, 2024/06/09 19:24:12.795
31, 525, 2024/06/09 19:24:12.998
14, 525, 2024/06/09 19:24:13.208
1, 525, 2024/06/09 19:24:13.411
1, 525, 2024/06/09 19:24:13.612
1, 525, 2024/06/09 19:24:13.814
1, 525, 2024/06/09 19:24:14.016
0, 525, 2024/06/09 19:24:14.219
0, 525, 2024/06/09 19:24:14.420
12, 525, 2024/06/09 19:24:14.622
31, 525, 2024/06/09 19:24:14.825
31, 525, 2024/06/09 19:24:15.028
31, 525, 2024/06/09 19:24:15.232
31, 525, 2024/06/09 19:24:15.439
30, 525, 2024/06/09 19:24:15.644
30, 525, 2024/06/09 19:24:15.847
31, 525, 2024/06/09 19:24:16.050
30, 525, 2024/06/09 19:24:16.254
30, 525, 2024/06/09 19:24:16.457
30, 525, 2024/06/09 19:24:16.660
31, 525, 2024/06/09 19:24:16.863
31, 525, 2024/06/09 19:24:17.067
30, 525, 2024/06/09 19:24:17.276
31, 525, 2024/06/09 19:24:17.479
30, 525, 2024/06/09 19:24:17.682
29, 525, 2024/06/09 19:24:17.884
30, 525, 2024/06/09 19:24:18.089
30, 525, 2024/06/09 19:24:18.292
31, 525, 2024/06/09 19:24:18.494
31, 525, 2024/06/09 19:24:18.697
30, 525, 2024/06/09 19:24:18.901
21, 525, 2024/06/09 19:24:19.110
3, 525, 2024/06/09 19:24:19.313
32, 525, 2024/06/09 19:24:19.515
14, 525, 2024/06/09 19:24:19.718
1, 525, 2024/06/09 19:24:19.921
10, 531, 2024/06/09 19:24:20.124
23, 541, 2024/06/09 19:24:20.327
32, 541, 2024/06/09 19:24:20.530
31, 541, 2024/06/09 19:24:20.733
32, 541, 2024/06/09 19:24:20.938
31, 541, 2024/06/09 19:24:21.146
31, 541, 2024/06/09 19:24:21.349
30, 541, 2024/06/09 19:24:21.552
30, 541, 2024/06/09 19:24:21.755
31, 541, 2024/06/09 19:24:21.957
30, 555, 2024/06/09 19:24:22.162
25, 555, 2024/06/09 19:24:22.364
1, 555, 2024/06/09 19:24:22.567
1, 555, 2024/06/09 19:24:22.769
1, 555, 2024/06/09 19:24:22.971
1, 555, 2024/06/09 19:24:23.175
